recruiter_id,login,password
1,Anders,"eS1!UcQY*""qi"
2,Edd,iG1/|N4AJ~p
3,Justino,hA4=*XAy)+d\_@o7
4,Marya,lK1*VoqiYfFEb
5,Etty,aY5#AxRZlua3$IV
6,Charmain,vA0{|vt}
7,Ethelyn,qW7{T$`u?A*o
8,Loreen,qX5$F=dmVlYyi
9,Eliot,oG3/Z)L*Y)*y5T5r
10,Jacobo,xR3(Rxmr'I93s1e
11,Frazer,eT2{+\haNcl|K
12,Adrea,qP9<SG\D_?%IqV
13,Sarena,pO7<?ZKxZZD
14,Standford,oN3(jc?AX|Tx
15,Clemence,yZ5|ctov%pdhZ9+
16,Ryley,wM3=y>bhvYc
17,Fraser,jE8+dV%CRmyo&$2L
18,Bernhard,"xS7/+h8BH#/,xa{i"
19,Wildon,hW5%GX#p8Srk/+r
20,Brnaba,oD8.>)6fC@+fB
